S.R.No.,Title,Colors,Case_style,,
bhishoom-2-105.png,Batman v/s Superman,"Yellow , Red , Black","comic-and-cartoon, famous, graphic, movies-and-television",,
bhishoom-2-106.png,Knight Wolf,"Black , Blue , Red","animals, graphic, quirky",,
bhishoom-2-107.png,Knight Bear,"Black , Red , White","animals, movies-and-television, quirky, graphic",,
bhishoom-2-108.png,Kungfu Panda,"Black , White","movies-and-television, animals, quirky, graphic, humour, famous",,
bhishoom-2-109.png,Kya Haal Chaal?,"Black , Red , White","typography, graphic, quirky, desi, humour, party",,
bhishoom-2-110.png,Tumhare paas kya hai ?,"Black , Green , White","party, comic-and-cartoon, typography, quirky, humour, desi, graphic, movies-and-television",,
bhishoom-2-111.png,Pyar Ho Jayega,"Grey , Green , Blue","typography, desi, humour, quirky, graphic",,
bhishoom-2-112.png,Six Packs,"Blue , Black , brown","graphic, quirky, humour, party, gym-and-health",,
bhishoom-2-113.png,Hamara Dil ,"Green , White , Orange","typography, humour, graphic, desi, party, quirky",,
bhishoom-2-114.png,Messi Boy,"Blue , Green , Yellow","sports, famous, graphic",,
bhishoom-2-115.png,Mind Your Language,"Black , White , Green","graphic, typography, humour, comic-and-cartoon, party, quirky",,
bhishoom-2-116.png,Main Toh Superman,"Black , White , Red","graphic, typography, humour, comic-and-cartoon, party, quirky, profession-and-personality",,
bhishoom-2-117.png,Haramkhor,"Green , Yellow , White","typography, humour, desi, party, quirky",,
bhishoom-2-118.png,Mann ki Aankhien,"Blue , brown , cream","typography, desi, graphic, animals, humour",,
bhishoom-2-119.png,Masters in COMPUTERS ,"Grey , White , Red","typography, humour, graphic, party, quirky, profession-and-personality",,
bhishoom-2-120.png,Mechanical Marvel,"Blue , White , Red","graphic, typography, humour, quirky, comic-and-cartoon",,
bhishoom-2-121.png,Memes & Mario,"Black , Red , Blue","comic-and-cartoon, graphic, humour, quirky, famous",,
bhishoom-2-122.png,KYA POWER HAI ,"Black , Red , White","graphic, typography, humour, quirky, party",,
bhishoom-2-123.png,Mil Hi Gaya,"Red , White , brown","graphic, typography, humour, quirky, desi, party",,
bhishoom-2-124.png,Mind The Rules,"Red , Black , Blue","typography, graphic, quirky, desi, humour, party",,
bhishoom-2-125.png,MJ Special,"purple , Yellow , Blue","graphic, quirky, humour, famous",,
bhishoom-2-126.png,Shave The World,"Blue , White , Red","graphic, typography, humour, comic-and-cartoon, quirky",,
bhishoom-2-127.png,Get High And FLY ,"Yellow , White , Blue","graphic, typography, humour, comic-and-cartoon, party, quirky",,
bhishoom-2-128.png,Mr Bean Animated ,"brown , Yellow , White","comic-and-cartoon, movies-and-television, humour, famous",,
bhishoom-2-129.png,Music In My Soul,"Black , Blue , White","graphic, quirky, party, music",,
bhishoom-2-130.png,My NAME is BASANTI,"Yellow , Black , pink","movies-and-television, typography, desi, humour, party, quirky",,
bhishoom-2-131.png,Meri Pahunch,"Black , White","party, comic-and-cartoon, typography, quirky, humour, desi, graphic",,
bhishoom-2-132.png,Ninja Turtles,"Blue , Green , White","graphic, comic-and-cartoon, movies-and-television, humour",,
bhishoom-2-133.png,NO war…Only LOVE,"Black , White , brown","graphic, movies-and-television, comic-and-cartoon, famous",,
bhishoom-2-134.png,No Smoking please,"Black , Red , Orange","typography, humour, graphic, desi, party, quirky",,
bhishoom-2-135.png,Its Star Wars ,"Black , Green , Red","graphic, movies-and-television, comic-and-cartoon, famous",,
bhishoom-2-136.png,Its Daft Punk ,"Black , White , Red","graphic, music, party, famous",,
bhishoom-2-137.png,Only FOR you,"Black , Red","graphic, quirky, humour, party",,
bhishoom-2-138.png,Spiderman Effect,"Red , Blue , brown","graphic, comic-and-cartoon, quirky, party, movies-and-television, famous, humour",,
bhishoom-2-139.png,Monster America,"Green , Blue , Red","graphic, comic-and-cartoon, quirky, famous, humour, movies-and-television",,
bhishoom-2-140.png,TedaMAN,"Yellow , Red , Blue","graphic, comic-and-cartoon, quirky, famous, humour, movies-and-television",,
bhishoom-2-141.png,Before and After PARTY,"Green , Red , Black","party, humour, quirky, typography, fashion",,
bhishoom-2-142.png,PIRATES OF TOONPUR,"Black , Blue , Orange","graphic, comic-and-cartoon, humour, quirky",,
bhishoom-2-143.png,Padai Ke Side Effects,"Blue , Orange , cream","graphic, humour, party, quirky, comic-and-cartoon, famous",,
bhishoom-2-144.png,DON’T TELL MY DAD,"Green , White","typography, humour, party, quirky",,
bhishoom-2-145.png,Party abhi baaki hai ,"Orange , White , Red","graphic, party, desi, comic-and-cartoon, quirky, music, humour",,
bhishoom-2-146.png,Party OWL ,"Grey , brown , Yellow","graphic, humour, party, quirky, comic-and-cartoon, animals",,
bhishoom-2-147.png,Pause'tive,"Red , Yellow , White","graphic, typography, humour, quirky",,
bhishoom-2-148.png,Peene Ka Bahana,"brown , White , Red","typography, humour, graphic, desi, party, quirky",,
bhishoom-2-149.png,Phata Poster Nikla JOKER,"Blue , Orange , White","graphic, movies-and-television, famous",,
bhishoom-2-150.png,Drink Meter,"Black , Red , Green","graphic, typography, humour, party, quirky",,
bhishoom-2-151.png, Pakka Mat ,"Orange , White , Yellow","typography, desi, humour, quirky",,
bhishoom-2-152.png,Pug In Pocket ,"Blue , Orange , White","humour, comic-and-cartoon, animals, graphic, quirky",,
bhishoom-2-153.png,Pocket Me DRAGON ball Z,"Red , Black , Blue","graphic, comic-and-cartoon, quirky, humour",,
bhishoom-2-154.png,Point hai BAAT me,"Orange , White , Yellow","graphic, typography, humour, quirky",,
bhishoom-2-155.png,Golden Death,"Blue , Yellow , Black","graphic, quirky, humour, party",,
