S.R.No.,Title,Colors,Case_style,,
353.jpg,Whatsaap ,"Black , Green","retro, 3d, quirky",,
354.jpg,Retro Color TV,"Brown , Grey","retro, 3d, quirky",,
355.jpg,Body Parts,"White , Brown","retro, 3d, quirky",,
356.jpg,World Map,"White , Blue , Yellow","retro, 3d, quirky",,
357.jpg,Battery Holder,"Grey , Black","retro, 3d, quirky",,
358.jpg,Floppy Disk,"Red , Blue , White","retro, 3d, quirky",,
359.jpg,Batman At Work,"Black , Red , Yellow","comic-and-cartoon, humour, illustration, movies-and-television",,
360.jpg,Lets connect,"Grey , White , Black","retro, 3d, quirky",,
361.jpg,Air conditioner,"White , Black , Grey","retro, 3d, quirky",,
362.jpg,Bal Krishna,"Blue , Pink , Yellow","religion-and-spirituality, illustration, desi",,
363.jpg,Taurus Zodiac,"Pink , Blue",zodiac,,
364.jpg,Dirt Bike,"Blue , Brown","sports, auto-and-transportation",,
366.jpg,David Bekham,"Red , White","famous, jerseys, sports",,
367.jpg,I am Taurus ,"Red , Black , White",zodiac,,
368.jpg,I am Leo ,"Orange , Brown , White",zodiac,,
369.jpg,Leo Zodiac,"Green , White , Pink",zodiac,,
370.jpg,Scorpio Zodiac,"Maroon , Pink , Blue",zodiac,,
371.jpg,I am Scorpio ,"Green , Black , White",zodiac,,
372.jpg,I am Gemini,"Green , Black , Yellow",zodiac,,
373.jpg,Gemini zodiac,"Pink , Red , Blue",zodiac,,
374.jpg,I am Aries,"Pink , White , Brown",zodiac,,
375.jpg,Aries zodiac,"Blue , Green , White",zodiac,,
376.jpg,Cancer Zodiac,"Blue , White , Pink",zodiac,,
377.jpg,Cancer  Zodiac II,"Blue , Black , White",zodiac,,
378.jpg,Pisces,"Blue , Red , White",zodiac,,
379.jpg,pisces zodiac,"Pink , White , Blue",zodiac,,
380.jpg,Capricorn,"Red , Black , White",zodiac,,
381.jpg,Capricorn Zodiac,"Brown , Blue , White",zodiac,,
382.jpg,Aquarius,"Orange , Blue , Red",zodiac,,
383.jpg,Aquarius Zodiac,"Green , Blue , Pink",zodiac,,
384.jpg,Sagittarius,"Yellow, Pink",zodiac,,
385.jpg,Sagittarius zodiac,"Yellow , Brown",zodiac,,
386.jpg,Virgo ,"Red , Yellow",zodiac,,
